"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10443","@Webst Client App login","","Sat Aug 16 15:25:21 EET 2025","passed","Sat Aug 16 15:25:31 EET 2025","","ClientAppOtherWay.spec.js","",""
"","30453","@Webst Client App login","","Sat Aug 16 15:25:21 EET 2025","broken","Sat Aug 16 15:25:51 EET 2025","","RunningWithDDT_1.spec.js","",""
"","30758","@Webst Client App login","","Sat Aug 16 14:51:49 EET 2025","broken","Sat Aug 16 14:52:20 EET 2025","","ClientAppOtherDDT.spec.js","",""
"","30474","@Webst Client App login","","Sat Aug 16 15:25:21 EET 2025","broken","Sat Aug 16 15:25:51 EET 2025","","ClientApp.spec.js","",""
